what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.search.declarations.in.workspace,1520514332246
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1520514334275
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514334445
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514334892
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1520514336172
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1520514338237
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.add.block.comment,1520514342355
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1520514344267
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514344509
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514344896
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1520514346474
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1520514353248
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.toggle.comment,1520514356179
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.toggle.comment,1520514358254
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.remove.block.comment,1520514360105
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1520514420566
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514425205
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514442620
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1520514442667
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1520514442696
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.smartEnter,1520514508272
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1520514663775
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1520514675458
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514675719
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1520514677771
