what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.copy.qualified.name,1521121224308
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121235259
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121280156
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.rename.element,1521121280172
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521121281139
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121284181
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121284197
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1521121287660
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1521121288455
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121290109
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521121293541
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121293572
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1521121293572
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521121295397
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121313759
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121323727
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121326878
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1521121335627
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521121337920
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1521121337951
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1521121342491
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1521121343708
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1521121407153
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1521121408416
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.DebugLast,1521121437355
